uprn,struprn,bduk_recognised_premises,country,postcode,lot_id,lot_name,subsidy_control_status,current_gigabit,future_gigabit,local_authority_district_ons_code,local_authority_district_ons,region_ons_code,region_ons,bduk_gis,bduk_gis_contract_scope,bduk_gis_final_coverage_date,bduk_gis_contract_name,bduk_gis_supplier,bduk_vouchers,bduk_vouchers_contract_name,bduk_vouchers_supplier,bduk_superfast,bduk_superfast_contract_name,bduk_superfast_supplier,bduk_hubs,bduk_hubs_contract_name,bduk_hubs_supplier
1.0003E+11,str100030035931,TRUE,England,NG16 4DH,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10094135404,str10094135404,FALSE,England,DE5 3HS,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030020638,TRUE,England,DE56 2TR,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030029562,TRUE,England,DE75 7EY,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030030991,TRUE,England,DE75 7NF,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030027657,TRUE,England,DE75 7PX,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030037406,TRUE,England,NG16 4GE,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030000015,TRUE,England,DE55 7HD,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030013341,TRUE,England,DE56 0PB,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030018726,TRUE,England,DE56 1HN,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030011509,TRUE,England,DE56 2UG,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10013427228,str10013427228,TRUE,England,DE7 6EN,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030000509,TRUE,England,DE55 1DR,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030008030,TRUE,England,DE55 7DZ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10000254459,str10000254459,TRUE,England,DE55 7HJ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10000253123,str10000253123,TRUE,England,DE56 1BY,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030029083,TRUE,England,DE75 7QU,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000382485,TRUE,England,NG16 4EA,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10094136681,str10094136681,TRUE,England,DE55 1FJ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000393716,TRUE,England,DE55 7NU,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030005349,TRUE,England,DE55 7PD,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030023537,TRUE,England,DE56 1PJ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030028834,TRUE,England,DE75 7PL,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030027587,TRUE,England,DE75 7SL,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030006348,TRUE,England,DE55 4JH,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030016685,TRUE,England,DE56 4AA,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030032068,TRUE,England,DE75 7AR,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030029748,TRUE,England,DE75 7JZ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000392035,TRUE,England,DE5 3UZ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10094135311,str10094135311,TRUE,England,DE5 8LE,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000392468,TRUE,England,DE55 1RH,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030013859,TRUE,England,DE56 2UW,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000392161,TRUE,England,DE7 6BU,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10013428315,str10013428315,TRUE,England,DE7 6PY,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,TRUE,Initial,31/12/2027,Derbyshire,connect fibre,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030026355,TRUE,England,DE75 7GS,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000382589,TRUE,England,DE75 7SZ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030037363,TRUE,England,NG16 4DD,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030042983,TRUE,England,DE5 3EP,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030010624,TRUE,England,DE56 0NQ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030023580,TRUE,England,DE56 1DF,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030015040,TRUE,England,DE56 1HL,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030032920,TRUE,England,DE7 6DW,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030032073,TRUE,England,DE75 7AR,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030030084,TRUE,England,DE75 7AT,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030031744,TRUE,England,DE75 7BS,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030030119,TRUE,England,DE75 7EN,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10013423516,str10013423516,TRUE,England,DE75 7PU,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030003617,TRUE,England,DE55 4AU,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030011465,TRUE,England,DE56 2TU,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030024292,TRUE,England,DE56 2TW,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030031009,TRUE,England,DE75 7NF,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030045756,TRUE,England,DE5 8JE,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10094135141,str10094135141,TRUE,England,DE5 8RP,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
